BrandName,Category,Deatils.2,Deatils.1.1,Discount,Sum of MRP,Sum of SellPrice,Sizes
109f,dress, birch,womens tie up neck floral print a-line,60% off,1999,799," L,XL"
109f,dress, black,womens mandarin neck solid knee length,60% off,2499,999," L,M,XL"
109f,dress, black,womens peter pan collar solid a-line,60% off,2399,959, S
109f,dress, black,womens round neck solid knee length,60% off,1999,799, XS
109f,dress, black,womens round neck solid shift,60% off,1799,719, M
109f,dress, black,womens round neck textured maxi,60% off,2899,1159," L,S"
109f,dress, black,womens strappy neck printed maxi,60% off,2499,999," S,XS"
109f,dress, blue,womens off shoulder solid shift,70% off,1799,539," S,XS"
109f,dress, cream,womens collared stripe skater,60% off,1799,719," XL,XXL"
109f,dress, green,womens mandarin collar solid eyelet skater,60% off,3499,1399," XL,XXL"
109f,dress, grey,womens floral print empire waist,60% off,2199,879," M,S"
109f,dress, red,womens round neck stripe shift,60% off,1599,639," M,S"
109f,dress, red,womens semi square neck solid midi,60% off,2299,919, S
109f,dress, red,womens solid casual maxi,60% off,2799,1119," M,S"
109f,dress, yellow,womens v- neck short,70% off,1899,569," M,S,XL,XXL"
109f,jeans, blue,womens 5 pocket coated,60% off,1999,799," S,XS"
109f,jeggings, navy,womens solid,60% off,1899,759," S,XS"
109f,jumpsuit, dark brown,womens round neck solid,60% off,1999,799, L
109f,pants, navy,womens 2 pocket solid,60% off,1899,759," S,XS"
109f,pants, navy,womens 5 pocket solid,60% off,2899,1159," L,M,S,XL,XS"
109f,pants, off white,womens solid casual,70% off,1999,599," L,XXL"
109f,shirt, black,womens mandarin neck printed,60% off,1699,679," L,M,S,XL,XXL"
109f,shirt, black,womens printed casual,60% off,1799,719, XS
109f,shirt, cream,womens embroidered casual,60% off,1499,599," XL,XXL"
109f,shirt, lime green,womens mandarin collar striped long,60% off,1599,639, S
109f,shirt, natural,womens solid casual,60% off,1699,679, XL
109f,shrug, grey,womens open front neck slub long,60% off,1799,719, S
109f,skirt, grey,womens embroidered casual,60% off,2499,999," S,XXL"
109f,top, birch,womens cold shoulder sleeves self pattern,60% off,2299,919," L,S,XL,XXL"
109f,top, birch,womens round neck embellished,60% off,2299,919," L,M,XL,XXL"
109f,top, birch,womens round neck lace,60% off,1599,639, M
109f,top, birch,womens round neck lace,60% off,2299,919," XL,XXL"
109f,top, birch,womens round neck solid,60% off,1199,479, XS
109f,top, black,womens collared stripe,60% off,1199,479," L,M,S,XS"
109f,top, black,womens mandarin collar embroidered,60% off,1599,639, S
109f,top, black,womens mandarin collar striped,60% off,1599,639, S
109f,top, black,womens round neck embroidered,60% off,2499,999," L,M,S,XL,XXL,XXXL"
109f,top, black,womens round neck solid,60% off,1499,599," L,M,S,XL"
109f,top, black,womens round neck solid,60% off,999,399," L,M,XL,XXL"
109f,top, black,womens round neck solid,60% off,1299,519, XS
109f,top, black,womens round neck solid high low,60% off,1199,479," L,M,S,XL"
109f,top, black,womens tie up neck floral print,60% off,1599,639," L,M,S,XL,XXL"
109f,top, black,womens v neck checked,60% off,1499,599," L,M,S"
