Year,Quarter,Month,Day,Item Purchased,Count of Customer Reference ID,Payment Method,Sum of Review Rating,Sum of Purchase Amount (USD)
2022,Qtr 4,October,2,Belt,1,Credit Card,4,130
2022,Qtr 4,October,2,Blouse,1,Cash,2,126
2022,Qtr 4,October,2,Handbag,2,Credit Card,6,74
2022,Qtr 4,October,2,Loafers,1,Credit Card,2,157
2022,Qtr 4,October,2,Polo Shirt,1,Credit Card,2,200
2022,Qtr 4,October,2,Raincoat,1,Credit Card,4,193
2022,Qtr 4,October,2,Tank Top,1,Cash,2,99
2022,Qtr 4,October,2,T-shirt,1,Cash,3,157
2022,Qtr 4,October,3,Blazer,1,Credit Card,4,133
2022,Qtr 4,October,3,Bowtie,1,Credit Card,2,22
2022,Qtr 4,October,3,Flip-Flops,1,Cash,4,157
2022,Qtr 4,October,3,Flip-Flops,1,Credit Card,3,130
2022,Qtr 4,October,3,Hoodie,1,Cash,4,62
2022,Qtr 4,October,3,Onesie,1,Credit Card,3,157
2022,Qtr 4,October,3,Poncho,1,Cash,2,14
2022,Qtr 4,October,3,Skirt,1,Cash,3,44
2022,Qtr 4,October,3,Sneakers,1,Credit Card,5,157
2022,Qtr 4,October,3,Socks,1,Cash,2,148
2022,Qtr 4,October,3,Sunglasses,1,Credit Card,2,32
2022,Qtr 4,October,3,Tank Top,1,Cash,3,40
2022,Qtr 4,October,3,T-shirt,1,Cash,4,191
2022,Qtr 4,October,3,Vest,1,Cash,5,83
2022,Qtr 4,October,3,Vest,1,Credit Card,3,30
2022,Qtr 4,October,4,Backpack,1,Cash,5,59
2022,Qtr 4,October,4,Boots,1,Credit Card,4,124
2022,Qtr 4,October,4,Gloves,1,Credit Card,5,92
2022,Qtr 4,October,4,Hoodie,1,Cash,3,71
2022,Qtr 4,October,4,Jacket,1,Cash,4,32
2022,Qtr 4,October,4,Pajamas,1,Credit Card,3,97
2022,Qtr 4,October,4,Slippers,1,Credit Card,5,167
2022,Qtr 4,October,4,Socks,1,Credit Card,3,150
2022,Qtr 4,October,4,Sun Hat,1,Cash,5,104
2022,Qtr 4,October,4,Sunglasses,1,Cash,3,175
