brand,category,color,Sum of current_price,Sum of customer_rating,is_returned,Sum of markdown_percentage,Sum of original_price,product_id,Year,Quarter,Month,Day,return_reason,season,size,Sum of stock_quantity
Ann Taylor,Accessories,Beige,42.23,3,false,0,42.23,FB000230,2025,Qtr 3,July,14,"",Spring,L,15
Ann Taylor,Accessories,Beige,68.87,2,false,0,68.87,FB000575,2025,Qtr 3,August,6,"",Summer,L,9
Ann Taylor,Accessories,Beige,27.72,4,false,18.9,34.18,FB001104,2025,Qtr 3,August,6,"",Fall,L,50
Ann Taylor,Accessories,Beige,33.71,2,false,15.8,40.04,FB001310,2025,Qtr 3,August,6,"",Summer,L,31
Ann Taylor,Accessories,Beige,33.88,3,false,0,33.88,FB001514,2025,Qtr 3,August,6,"",Winter,L,9
Ann Taylor,Accessories,Beige,59.98,3,false,0,59.98,FB001719,2025,Qtr 3,August,6,"",Winter,L,28
Ann Taylor,Accessories,Beige,21.48,3,false,57.9,51.02,FB001939,2025,Qtr 3,August,6,"",Summer,L,36
Ann Taylor,Accessories,Black,47.28,5,false,0,47.28,FB000602,2025,Qtr 3,August,6,"",Fall,L,38
Ann Taylor,Accessories,Black,33.49,3,false,45.4,61.34,FB000711,2025,Qtr 1,February,3,"",Spring,L,46
Ann Taylor,Accessories,Black,52.97,5,false,0,52.97,FB001521,2025,Qtr 3,July,26,"",Spring,L,36
Ann Taylor,Accessories,Black,21.82,3,false,45.5,40.04,FB001638,2025,Qtr 3,August,6,"",Fall,L,50
Ann Taylor,Accessories,Black,37.76,4,false,9.5,41.72,FB002134,2025,Qtr 3,August,6,"",Winter,L,9
Ann Taylor,Accessories,Black,77.48,4,true,0,77.48,FB000656,2024,Qtr 4,October,7,Quality Issue,Spring,L,49
Ann Taylor,Accessories,Black,38.04,4,true,6.2,40.55,FB001451,2024,Qtr 3,September,9,Wrong Item,Spring,L,26
Ann Taylor,Accessories,Blue,42.19,2,false,27,57.8,FB000134,2025,Qtr 3,August,6,"",Winter,L,9
Ann Taylor,Accessories,Blue,29.19,2,false,0,29.19,FB001926,2025,Qtr 1,March,15,"",Spring,L,20
Ann Taylor,Accessories,Brown,39.17,4,true,0,39.17,FB001090,2025,Qtr 3,August,6,Color Mismatch,Summer,L,4
Ann Taylor,Accessories,Gray,26.05,2,false,32.6,38.65,FB000546,2025,Qtr 3,August,6,"",Winter,L,46
Ann Taylor,Accessories,Gray,73.43,3,false,0,73.43,FB000948,2025,Qtr 3,August,6,"",Fall,L,22
Ann Taylor,Accessories,Gray,30.47,5,false,0,30.47,FB001547,2025,Qtr 3,August,6,"",Summer,L,34
Ann Taylor,Accessories,Gray,77.34,3,false,0,77.34,FB001997,2025,Qtr 1,January,10,"",Spring,L,27
Ann Taylor,Accessories,Gray,14.81,5,false,38.5,24.08,FB002107,2025,Qtr 3,August,6,"",Winter,L,43
Ann Taylor,Accessories,Gray,57.16,5,true,18,69.71,FB000168,2025,Qtr 3,August,6,Color Mismatch,Summer,L,34
Ann Taylor,Accessories,Green,20.56,3,false,53.9,44.6,FB000048,2025,Qtr 3,August,6,"",Winter,L,42
Ann Taylor,Accessories,Green,55.57,4,false,0,55.57,FB000067,2025,Qtr 3,August,6,"",Summer,L,44
Ann Taylor,Accessories,Green,42.11,4,false,0,42.11,FB000257,2025,Qtr 3,August,6,"",Winter,L,26
Ann Taylor,Accessories,Green,35.36,5,false,0,35.36,FB000512,2025,Qtr 3,August,6,"",Winter,L,42
Ann Taylor,Accessories,Green,40.01,5,false,0,40.01,FB000922,2025,Qtr 2,June,5,"",Spring,L,22
Ann Taylor,Accessories,Green,40.56,5,false,27.3,55.79,FB001798,2025,Qtr 3,August,6,"",Winter,L,39
Ann Taylor,Accessories,Green,48.17,3,false,6.1,51.3,FB001851,2025,Qtr 3,August,6,"",Winter,L,31
Ann Taylor,Accessories,Navy,17.67,5,false,0,17.67,FB000589,2025,Qtr 3,August,6,"",Summer,L,29
Ann Taylor,Accessories,Navy,32.69,2,false,44.8,59.22,FB000661,2025,Qtr 3,August,6,"",Winter,L,21
Ann Taylor,Accessories,Navy,73.04,5,false,0,73.04,FB000755,2025,Qtr 3,August,6,"",Summer,L,44
